"","district","postcode","n","per_of_district","per_of_postcode"
"379","HAWKESBURY","2157",1107,2.24225237998785,60.5579868708972
"380","HAWKESBURY","2775",1050,2.12679765039498,57.9470198675497
"381","HAWKESBURY","2757",539,1.09175612720275,100
"382","HAWKESBURY","2155",179,0.362568361353048,0.571665815022994
"383","HAWKESBURY","2325",13,0.0263317804334616,0.0730994152046784
"384","HAWKESBURY","2330",7,0.0141786510026332,0.05380476556495
"385","HAWKESBURY","2156",6,0.0121531294308284,0.11454753722795
"386","HAWKESBURY","2250",1,0.00202552157180474,0.00219211714674032
"387","HEATHCOTE","2232",13268,32.5762969874046,64.6462677840577
"388","HEATHCOTE","2233",13175,32.347958457119,100
"389","HEATHCOTE","2515",5976,14.6725920106067,100
"390","HEATHCOTE","2508",4161,10.2163077905178,100
"391","HEATHCOTE","2516",2678,6.57516757101819,88.0052579691094
"392","HEATHCOTE","2230",1470,3.60922193031992,6.90854403609362
"393","HEATHCOTE","2173",1,0.00245525301382307,0.0203748981255094
"394","HEFFRON","2017",23889,31.8647458983593,99.0422885572139
"395","HEFFRON","2020",14594,19.4664532479659,100
"396","HEFFRON","2018",12790,17.0601573962918,99.9609222352481
"397","HEFFRON","2015",10386,13.8535414165666,83.8053740014524
"398","HEFFRON","2044",5689,7.58836868080566,99.9824253075571
"399","HEFFRON","2033",4839,6.45458183273309,62.0941870909791
"400","HEFFRON","2032",2730,3.64145658263305,29.6159687567802
"401","HEFFRON","2021",41,0.0546885420835001,0.370270026189831
"402","HEFFRON","2043",12,0.0160064025610244,0.162337662337662
"403","HOLSWORTHY","2170",28177,69.529919802591,47.3865662103528
"404","HOLSWORTHY","2234",6398,15.7877853177051,51.0451571724908
"405","HOLSWORTHY","2173",4907,12.1085749537323,99.9796251018745
"406","HOLSWORTHY","2172",1042,2.5712523133868,100
"407","HOLSWORTHY","2232",1,0.00246761258482418,0.00487234457220815
"408","HORNSBY","2077",17231,40.1973592124294,67.1198192583359
"409","HORNSBY","2126",7498,17.4917183782018,99.9600053326223
"410","HORNSBY","2079",3290,7.67508048336677,100
"411","HORNSBY","2158",2568,5.99076190920543,60.409315455187
"412","HORNSBY","2082",2410,5.62217141790697,100
"413","HORNSBY","2159",2292,5.34689497503849,100
"414","HORNSBY","2081",2236,5.2162553072365,100
"415","HORNSBY","2125",1681,3.92152288527038,25.8019953952418
"416","HORNSBY","2080",1060,2.47282228339477,99.9057492931197
"417","HORNSBY","2083",766,1.78696402743433,54.0578687367678
"418","HORNSBY","2157",721,1.68198572295059,39.4420131291028
"419","HORNSBY","2120",596,1.39037932160687,6.18257261410788
"420","HORNSBY","2156",248,0.578547100265945,4.73463153875525
"421","HORNSBY","2775",141,0.328932020715719,7.78145695364238
"422","HORNSBY","2154",65,0.151635328698736,0.2994839660892
"423","HORNSBY","2756",63,0.146969626277236,0.327238728443798
"424","KEIRA","2526",7756,20.3041964449331,88.9755649879546
"425","KEIRA","2518",7583,19.8513050079845,67.0231571504331
"426","KEIRA","2517",7026,18.3931516531846,100
"427","KEIRA","2519",6363,16.6575041231446,70.8574610244989
"428","KEIRA","2500",4717,12.3484907981884,15.5604671109059
"429","KEIRA","2525",4343,11.3694075761146,79.4257498171178
